MARITING - HOTEL COMPETITION ANALYSIS TEMPLATE,,,,,,,,,,
,,,,,,,,,,
Platform:,(Write the platform name exactly as shown below),,,,,,,,,,
Available platforms:,Booking,Airbnb,Expedia,Google Hotels,TripAdvisor,Trivago,,,
,,,,,,,,,,
SINGLE ROOMS PRICING ANALYSIS,,,,,,,,,,
Hotel Name,Rating,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Reviews Num
[My Main Hotel],8.5,€85,€85,€85,€95,€120,€130,€110,465
Competitor Hotel 1,,,,,,,,,
Competitor Hotel 2,,,,,,,,,
Competitor Hotel 3,,,,,,,,,
Competitor Hotel 4,,,,,,,,,
Competitor Hotel 5,,,,,,,,,
Competitor Hotel 6,,,,,,,,,
Competitor Hotel 7,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
DOUBLE ROOMS PRICING ANALYSIS,,,,,,,,,,
Hotel Name,Rating,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Reviews Num
[My Main Hotel],8.5,€120,€120,€120,€135,€160,€170,€145,465
Competitor Hotel 1,,,,,,,,,
Competitor Hotel 2,,,,,,,,,
Competitor Hotel 3,,,,,,,,,
Competitor Hotel 4,,,,,,,,,
Competitor Hotel 5,,,,,,,,,
Competitor Hotel 6,,,,,,,,,
Competitor Hotel 7,,,,,,,,,
,,,,,,,,,,
Contact: support@mariting.com,,,,,,,,,,
